No.;Time;Source;Destination;Protocol;Length;Info;time 2;time 1;delay;delay 2;delay 1;jitter
5;0.080928;192.168.43.157;114.125.16.41;TCP;66;62308  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;0.118102;0.080928;0.037174;0.000382;0.036792;-0.03641
6;0.118102;114.125.16.41;192.168.43.157;TCP;66;80  >  62308 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;0.118484;0.118102;0.000382;0.000931;-0.000549;0.00148
7;0.118484;192.168.43.157;114.125.16.41;TCP;54;62308  >  80 [ACK] Seq=1 Ack=1 Win=131584 Len=0;0.119415;0.118484;0.000931;0.064924;-0.063993;0.128917
8;0.119415;192.168.43.157;114.125.16.41;HTTP;341;GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?3491c4cb1184791e HTTP/1.1 ;0.184339;0.119415;0.064924;0.000215;0.064709;-0.064494
9;0.184339;114.125.16.41;192.168.43.157;TCP;54;80  >  62308 [ACK] Seq=1 Ack=288 Win=30336 Len=0;0.184554;0.184339;0.000215;0.034954;-0.034739;0.069693
10;0.184554;114.125.16.41;192.168.43.157;HTTP;322;HTTP/1.1 304 Not Modified ;0.219508;0.184554;0.034954;0.084995;-0.050041;0.135036
11;0.219508;192.168.43.157;114.125.16.41;HTTP;334;GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab?475dce1d90d8a55b HTTP/1.1 ;0.304503;0.219508;0.084995;0.054081;0.030914;0.023167
12;0.304503;114.125.16.41;192.168.43.157;HTTP;321;HTTP/1.1 304 Not Modified ;0.358584;0.304503;0.054081;0.048432;0.005649;0.042783
14;0.358584;192.168.43.157;114.125.16.41;TCP;54;62308  >  80 [ACK] Seq=568 Ack=536 Win=130816 Len=0;0.407016;0.358584;0.048432;0.05891;-0.010478;0.069388
17;0.407016;192.168.43.157;17.253.118.202;TCP;66;62309  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;0.465926;0.407016;0.05891;0.000213;0.058697;-0.058484
18;0.465926;17.253.118.202;192.168.43.157;TCP;66;80  >  62309 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1400 SACK_PERM=1 WS=4096;0.466139;0.465926;0.000213;0.000415;-0.000202;0.000617
19;0.466139;192.168.43.157;17.253.118.202;TCP;54;62309  >  80 [ACK] Seq=1 Ack=1 Win=131584 Len=0;0.466554;0.466139;0.000415;0.048417;-0.048002;0.096419
20;0.466554;192.168.43.157;17.253.118.202;HTTP;308;GET /root.crl HTTP/1.1 ;0.514971;0.466554;0.048417;0.000212;0.048205;-0.047993
21;0.514971;17.253.118.202;192.168.43.157;TCP;54;80  >  62309 [ACK] Seq=1 Ack=255 Win=45056 Len=0;0.515183;0.514971;0.000212;0.046478;-0.046266;0.092744
22;0.515183;17.253.118.202;192.168.43.157;HTTP;223;HTTP/1.1 304 Not Modified ;0.561661;0.515183;0.046478;3.610624;-3.564146;7.17477
23;0.561661;192.168.43.157;17.253.118.202;TCP;54;62309  >  80 [ACK] Seq=255 Ack=170 Win=131328 Len=0;4.172285;0.561661;3.610624;0.054752;3.555872;-3.50112
24;4.172285;192.168.43.157;3.235.82.192;TLSv1.2;271;Application Data;4.227037;4.172285;0.054752;0.272987;-0.218235;0.491222
25;4.227037;3.235.82.192;192.168.43.157;TCP;54;443  >  61231 [ACK] Seq=1 Ack=218 Win=3784 Len=0;4.500024;4.227037;0.272987;0.04672;0.226267;-0.179547
26;4.500024;3.235.82.192;192.168.43.157;TLSv1.2;249;Application Data;4.546744;4.500024;0.04672;0.719173;-0.672453;1.391626
27;4.546744;192.168.43.157;3.235.82.192;TCP;54;61231  >  443 [ACK] Seq=218 Ack=196 Win=509 Len=0;5.265917;4.546744;0.719173;0.058183;0.66099;-0.602807
28;5.265917;192.168.43.157;3.235.82.192;TLSv1.2;84;Application Data;5.3241;5.265917;0.058183;28.926003;-28.86782;57.793823
29;5.3241;3.235.82.192;192.168.43.157;TCP;54;443  >  61231 [ACK] Seq=196 Ack=248 Win=3785 Len=0;34.250103;5.3241;28.926003;0.086071;28.839932;-28.753861
30;34.250103;192.168.43.157;3.235.82.192;TLSv1.2;271;Application Data;34.336174;34.250103;0.086071;0.280206;-0.194135;0.474341
31;34.336174;3.235.82.192;192.168.43.157;TCP;54;443  >  61231 [ACK] Seq=196 Ack=465 Win=3791 Len=0;34.61638;34.336174;0.280206;0.055407;0.224799;-0.169392
32;34.61638;3.235.82.192;192.168.43.157;TLSv1.2;249;Application Data;34.671787;34.61638;0.055407;15.487505;-15.432098;30.919603
33;34.671787;192.168.43.157;3.235.82.192;TCP;54;61231  >  443 [ACK] Seq=465 Ack=391 Win=508 Len=0;50.159292;34.671787;15.487505;0.000214;15.487291;-15.487077
36;50.159292;117.18.237.29;192.168.43.157;TCP;54;80  >  62307 [FIN, ACK] Seq=1 Ack=1 Win=11 Len=0;50.159506;50.159292;0.000214;0.000311;-9.7E-05;0.000408
37;50.159506;192.168.43.157;117.18.237.29;TCP;54;62307  >  80 [ACK] Seq=1 Ack=2 Win=514 Len=0;50.159817;50.159506;0.000311;0.000884;-0.000573;0.001457
38;50.159817;192.168.43.157;117.18.237.29;TCP;54;62307  >  80 [FIN, ACK] Seq=1 Ack=2 Win=514 Len=0;50.160701;50.159817;0.000884;0;0.000884;-0.000884
39;50.160701;117.18.237.29;192.168.43.157;TCP;54;[TCP Out-Of-Order] 80  >  62307 [FIN, ACK] Seq=1 Ack=1 Win=11 Len=0;50.160701;50.160701;0;0;0;0
40;50.160701;117.18.237.29;192.168.43.157;TCP;54;[TCP Out-Of-Order] 80  >  62307 [FIN, ACK] Seq=1 Ack=1 Win=11 Len=0;50.160701;50.160701;0;0.000103;-0.000103;0.000206
41;50.160701;117.18.237.29;192.168.43.157;TCP;54;[TCP Out-Of-Order] 80  >  62307 [FIN, ACK] Seq=1 Ack=1 Win=11 Len=0;50.160804;50.160701;0.000103;9E-05;1.3E-05;7.7E-05
42;50.160804;192.168.43.157;117.18.237.29;TCP;54;[TCP Dup ACK 37#1] 62307  >  80 [ACK] Seq=2 Ack=2 Win=514 Len=0;50.160894;50.160804;9E-05;8.9E-05;1E-06;8.8E-05
43;50.160894;192.168.43.157;117.18.237.29;TCP;54;[TCP Dup ACK 37#2] 62307  >  80 [ACK] Seq=2 Ack=2 Win=514 Len=0;50.160983;50.160894;8.9E-05;0.068373;-0.068284;0.136657
44;50.160983;192.168.43.157;117.18.237.29;TCP;54;[TCP Dup ACK 37#3] 62307  >  80 [ACK] Seq=2 Ack=2 Win=514 Len=0;50.229356;50.160983;0.068373;0.109042;-0.040669;0.149711
45;50.229356;117.18.237.29;192.168.43.157;TCP;54;80  >  62307 [ACK] Seq=2 Ack=2 Win=11 Len=0;50.338398;50.229356;0.109042;0.092915;0.016127;0.076788
46;50.338398;192.168.43.157;3.235.82.192;TLSv1.2;84;Application Data;50.431313;50.338398;0.092915;5.257641;-5.164726;10.422367
47;50.431313;3.235.82.192;192.168.43.157;TCP;54;443  >  61231 [ACK] Seq=391 Ack=495 Win=3792 Len=0;55.688954;50.431313;5.257641;0.000245;5.257396;-5.257151
50;55.688954;17.253.118.202;192.168.43.157;TCP;54;80  >  62309 [FIN, ACK] Seq=170 Ack=255 Win=45056 Len=0;55.689199;55.688954;0.000245;9.1E-05;0.000154;-6.3E-05
51;55.689199;192.168.43.157;17.253.118.202;TCP;54;62309  >  80 [ACK] Seq=255 Ack=171 Win=131328 Len=0;55.68929;55.689199;9.1E-05;0.049785;-0.049694;0.099479
52;55.68929;192.168.43.157;17.253.118.202;TCP;54;62309  >  80 [FIN, ACK] Seq=255 Ack=171 Win=131328 Len=0;55.739075;55.68929;0.049785;0.000163;0.049622;-0.049459
53;55.739075;17.253.118.202;192.168.43.157;TCP;54;[TCP Out-Of-Order] 80  >  62309 [FIN, ACK] Seq=170 Ack=255 Win=45056 Len=0;55.739238;55.739075;0.000163;0.018248;-0.018085;0.036333
54;55.739238;192.168.43.157;17.253.118.202;TCP;54;[TCP Dup ACK 51#1] 62309  >  80 [ACK] Seq=256 Ack=171 Win=131328 Len=0;55.757486;55.739238;0.018248;0.033771;-0.015523;0.049294
55;55.757486;17.253.118.202;192.168.43.157;TCP;54;80  >  62309 [ACK] Seq=171 Ack=256 Win=45056 Len=0;55.791257;55.757486;0.033771;4.73726;-4.703489;9.440749
56;55.791257;17.253.118.202;192.168.43.157;TCP;54;80  >  62309 [RST, ACK] Seq=171 Ack=256 Win=0 Len=0;60.528517;55.791257;4.73726;0.058642;4.678618;-4.619976
57;60.528517;192.168.43.157;114.125.16.41;TCP;54;62308  >  80 [FIN, ACK] Seq=568 Ack=536 Win=130816 Len=0;60.587159;60.528517;0.058642;0.000268;0.058374;-0.058106
58;60.587159;114.125.16.41;192.168.43.157;TCP;54;80  >  62308 [FIN, ACK] Seq=536 Ack=569 Win=31360 Len=0;60.587427;60.587159;0.000268;;0.000268;
59;60.587427;192.168.43.157;114.125.16.41;TCP;54;62308  >  80 [ACK] Seq=569 Ack=537 Win=130816 Len=0;;;;;;
;;;;;;;;;;;;
;;;;;;;;total delay;60.506499;;total jitter;60.432419
;;;;;;;;;;;;
;;;;;;;;rata2 delay;1.0432155;;rata2 jitter;1.041938259
